username,full_text
hcahnry,siapa bilang gaji guru pns dikit honorer iya malah lebih sejahtera guru asn kantor coba cek deh gaji tunjang
GYULAXY0_0,ngomong gaji guru rendah karna sebenernya peduli atas adil profesi guru sangat miris indonesia malah aneh singgung arti tidak care ya cuma fokus asn yang jumlah lebih banyak guru honorer
ssoxhe,1 apa kabar kurikulum merdeka 2 apa kabar gaji guru honorer 3 apa kabar ganti seragam 4 apa kabar naik ukt unsoed selamat datang lanjut selamat datang peras
temennyaocil,tabung sering banget teman tanya dia uang saku bulan besar gaji guru honorer ini ponsel mana
SalmaAinunfitr1,gaji pegawai becuk berapa sih lebih kurang guru honorer apa gimana sampe curi
riiiy_a,guru honorer gaji 300 ribu 3 bulan ngajar ahli finansial mana bisa ngatur
AsmoroM22,memang rendah bayangin masa abdi honorer 12 telah angkat gaji bulan cuma 3 5 juta mengcover biaya biaya sudah dikeluarin masih honor gaji 200 ribu buk lagi tugas guru tuh berat kamu lihat bandingin itu sama gaji guru negara
arsadanim,guru honorer gaji berapa entah nyaman banget kerja ku tawar kerja itu tidak minat kecuali kerja menit 5m sih tidak apa tertawa
jen23_luv,timbang nambah puyeng orangtua murid pak nadiem lebih fokus gaji status guru honorer ringan biaya didik anak indonesia lebih banyak kenyam didik lebih tinggicapek banget sama kurikulum ubah
rantsaboutchu,beberapa daerah sekolah gratis sayang program sekolah gratis program populis kepala daerah paham dunia didik dengan anggar sangat mepet salah dampak besar gaji guru utama guru honorer tidak manusiawi
rantsaboutchu,jangan tutup mata masih guru underpaid teman guru honorer 2 gaji underpaid kadang gaji rapel sampe bulan memang kamu kata makan rapel
kalengkong_guan,mamah papah alhamdulillah masuk guru gaji cukup tidak nutup mata di luar masih banyak banget guru gaji kecil apa honorer
Chochosuuu,mending naikin gaji guru honorer
Joonbooster,sender ayo mutualan guru honorer mungkin cocok hidup sengsara gaji di rapel bulan
beartaeby_,sekolah aph negri jadi kerabat dekat guru guru minimal bayar 15 juta jadi honorer gaji 300 ribu
thvblast,jakarta jakarta daerah contoh sulawesi selatan guru honorer gaji 300 ribu 3 bulan
NanonnnD,betul saya cuma kritik urgensi ngrombak seragam padahal lebih banyak lain sistem didik lebih urgent benah contoh ada siswa boleh tinggal kelas sistem gaji guru honorer didik daerah 3t lain bagai kawan kawan
