username,full_text
ayayayaida,honorer memang rendah sender gaji sakit banget asli padahal guru kerja mulia keren gaji sedih banget gaji 250 ribu rapel 3 bulan jangan kan jajan uang ongkos tidak nutup
bebas_l,mas banding rata jumpah asn vs guru honorer 15 mas load kerja sama gaji asn tukin lain bulan sampe 8 juta honorer bulan gantung jam ngajar mas rata dapet 800-1jutaan bulan
viorisolmayo,memang kecil sender honorer apa papa guru jadi asn jabat tinggi dulu baru punya gaji kayak sekarang dulu mah susah alhamdulillah roda putar
deeep_seaaaa,pandang rendah kenyatana banyak gaji guru tidak layak asn jangan tanya gaji kalau honorer mana
haneul_o_o,banyak gelar spd mau guru mau pns sekarang p3k susah pns anak kuliah dapet ukt golong tinggi honorer beban kerja sama gaji tidak sesuai
haneul_o_o,gaji guru honorer memang rendah yang mobil rumah pribadi padahal guru mungkin 1 rumah orang tua 2 pasang bukan guru 3 pns pangkat tinggi 4 punya usaha samping
_inisiapaa,memang nyata apa guru honorer rata gaji 1 juta tidak nyampe bahkan guru tk dapet 500 ribu bulan sudah alhamdulillah banget soal rata bawah
StarRabbit15,bilang gaji guru rendah kadang mandang ngerendahin guru nya sengaja kritik jabat negara masa guru abdi nya gaji dikit banget yang guru honorer gaji lebih parah
songparksoe,temenku guru honorer 12 baru tahun angkat asn terus bilang sekarang gaji beda banget sebuln gaji kali awal bulan gaji pokok tengah bulan uang tunjang happy for him soal juang jadi guru asn lama sekali banyak drama
hii_dudeew,tak kasih tau sender teman ku guru sd bulan cuma 250 ribu 3 bulan sekolah baru dapet gaji sekali doang alias dia guru honorer guru beli mobil rumah lain biasa sudah pns itu guru sudah tahun tidak semua guru begitu
Cungkri46356457,guru honorer guru sekolah swasta kecil sekian lulus jurus guru sedikit yang guru pns gaji tunjang sertifikasi bisa sampai 8 juta up
lzyjj,di indonesia dipake guru pahlawan tanda jasa gaji guru honorer masih rendah dari dulu suruh ikhlas dengan alas abdi kata guru perlu makan
imstrhmwt,cobain dulu baru bikin statement kaya gitu banyak tuu guru honorer gaji 250 bulan bahkan bawah
NoturHabibtiiii,sender nih gimana sih tertawa fakta situ ngomong juga riset tidak semua guru dapat gaji tiap bulan apa honorer gaji 400 3 bulanmana tunjang fakta lapang apa di timur banyak banget guru yang tidak dapet gaji
